pattern,match_type,category,label,case_sensitive
α,literal,greek,alpha,yes
β,literal,greek,beta,yes
γ,literal,greek,gamma,yes
δ,literal,greek,delta,yes
ε,literal,greek,epsilon,yes
ζ,literal,greek,zeta,yes
η,literal,greek,eta,yes
θ,literal,greek,theta,yes
ι,literal,greek,iota,yes
κ,literal,greek,kappa,yes
λ,literal,greek,lambda,yes
μ,literal,greek,mu,yes
ν,literal,greek,nu,yes
ξ,literal,greek,xi,yes
ο,literal,greek,omicron,yes
π,literal,greek,pi,yes
ρ,literal,greek,rho,yes
σ,literal,greek,sigma,yes
τ,literal,greek,tau,yes
υ,literal,greek,upsilon,yes
φ,literal,greek,phi,yes
χ,literal,greek,chi,yes
ψ,literal,greek,psi,yes
ω,literal,greek,omega,yes
ϵ,literal,greek,varepsilon,yes
ϑ,literal,greek,vartheta,yes
ϰ,literal,greek,varkappa,yes
ϖ,literal,greek,varpi,yes
ϱ,literal,greek,varrho,yes
ς,literal,greek,varsigma,yes
ϕ,literal,greek,varphi,yes
Α,literal,greek,Alpha,yes
Β,literal,greek,Beta,yes
Γ,literal,greek,Gamma,yes
Δ,literal,greek,Delta,yes
Ε,literal,greek,Epsilon,yes
Ζ,literal,greek,Zeta,yes
Η,literal,greek,Eta,yes
Θ,literal,greek,Theta,yes
Ι,literal,greek,Iota,yes
Κ,literal,greek,Kappa,yes
Λ,literal,greek,Lambda,yes
Μ,literal,greek,Mu,yes
Ν,literal,greek,Nu,yes
Ξ,literal,greek,Xi,yes
Ο,literal,greek,Omicron,yes
Π,literal,greek,Pi,yes
Ρ,literal,greek,Rho,yes
Σ,literal,greek,Sigma,yes
Τ,literal,greek,Tau,yes
Υ,literal,greek,Upsilon,yes
Φ,literal,greek,Phi,yes
Χ,literal,greek,Chi,yes
Ψ,literal,greek,Psi,yes
Ω,literal,greek,Omega,yes
\\alpha\b,regex,greek,alpha,yes
\\beta\b,regex,greek,beta,yes
\\gamma\b,regex,greek,gamma,yes
\\delta\b,regex,greek,delta,yes
\\epsilon\b,regex,greek,epsilon,yes
\\zeta\b,regex,greek,zeta,yes
\\eta\b,regex,greek,eta,yes
\\theta\b,regex,greek,theta,yes
\\iota\b,regex,greek,iota,yes
\\kappa\b,regex,greek,kappa,yes
\\lambda\b,regex,greek,lambda,yes
\\mu\b,regex,greek,mu,yes
\\nu\b,regex,greek,nu,yes
\\xi\b,regex,greek,xi,yes
\\omicron\b,regex,greek,omicron,yes
\\pi\b,regex,greek,pi,yes
\\rho\b,regex,greek,rho,yes
\\sigma\b,regex,greek,sigma,yes
\\tau\b,regex,greek,tau,yes
\\upsilon\b,regex,greek,upsilon,yes
\\phi\b,regex,greek,phi,yes
\\chi\b,regex,greek,chi,yes
\\psi\b,regex,greek,psi,yes
\\omega\b,regex,greek,omega,yes
\\varepsilon\b,regex,greek,varepsilon,yes
\\vartheta\b,regex,greek,vartheta,yes
\\varkappa\b,regex,greek,varkappa,yes
\\varpi\b,regex,greek,varpi,yes
\\varrho\b,regex,greek,varrho,yes
\\varsigma\b,regex,greek,varsigma,yes
\\varphi\b,regex,greek,varphi,yes
\\Gamma\b,regex,greek,Gamma,yes
\\Delta\b,regex,greek,Delta,yes
\\Theta\b,regex,greek,Theta,yes
\\Lambda\b,regex,greek,Lambda,yes
\\Xi\b,regex,greek,Xi,yes
\\Pi\b,regex,greek,Pi,yes
\\Sigma\b,regex,greek,Sigma,yes
\\Upsilon\b,regex,greek,Upsilon,yes
\\Phi\b,regex,greek,Phi,yes
\\Psi\b,regex,greek,Psi,yes
\\Omega\b,regex,greek,Omega,yes
≤,literal,relation,less_equal,yes
≥,literal,relation,greater_equal,yes
≠,literal,relation,not_equal,yes
≈,literal,relation,approximately,yes
≡,literal,relation,equivalent,yes
≅,literal,relation,congruent,yes
∼,literal,relation,similar,yes
∝,literal,relation,proportional,yes
≪,literal,relation,much_less,yes
≫,literal,relation,much_greater,yes
\\leq\b,regex,relation,less_equal,yes
\\le\b,regex,relation,less_equal,yes
\\geq\b,regex,relation,greater_equal,yes
\\ge\b,regex,relation,greater_equal,yes
\\neq\b,regex,relation,not_equal,yes
\\ne\b,regex,relation,not_equal,yes
\\approx\b,regex,relation,approximately,yes
\\equiv\b,regex,relation,equivalent,yes
\\cong\b,regex,relation,congruent,yes
\\sim\b,regex,relation,similar,yes
\\propto\b,regex,relation,proportional,yes
=,literal,relation,equals,yes
∈,literal,set_theory,in,yes
∉,literal,set_theory,not_in,yes
∋,literal,set_theory,contains,yes
⊂,literal,set_theory,subset,yes
⊃,literal,set_theory,superset,yes
⊆,literal,set_theory,subset_equal,yes
⊇,literal,set_theory,superset_equal,yes
∪,literal,set_theory,union,yes
∩,literal,set_theory,intersection,yes
∅,literal,set_theory,empty_set,yes
℘,literal,set_theory,power_set,yes
ℕ,literal,set_theory,naturals,yes
ℤ,literal,set_theory,integers,yes
ℚ,literal,set_theory,rationals,yes
ℝ,literal,set_theory,reals,yes
ℂ,literal,set_theory,complexes,yes
\\in\b,regex,set_theory,in,yes
\\notin\b,regex,set_theory,not_in,yes
\\subset\b,regex,set_theory,subset,yes
\\supset\b,regex,set_theory,superset,yes
\\subseteq\b,regex,set_theory,subset_equal,yes
\\supseteq\b,regex,set_theory,superset_equal,yes
\\cup\b,regex,set_theory,union,yes
\\cap\b,regex,set_theory,intersection,yes
\\emptyset\b,regex,set_theory,empty_set,yes
\\varnothing\b,regex,set_theory,empty_set,yes
\\mathbb\{N\},regex,set_theory,naturals,yes
\\mathbb\{Z\},regex,set_theory,integers,yes
\\mathbb\{Q\},regex,set_theory,rationals,yes
\\mathbb\{R\},regex,set_theory,reals,yes
\\mathbb\{C\},regex,set_theory,complexes,yes
∀,literal,logic,forall,yes
∃,literal,logic,exists,yes
∄,literal,logic,not_exists,yes
⇒,literal,logic,implies,yes
⇐,literal,logic,implied_by,yes
⇔,literal,logic,iff,yes
→,literal,logic,to,yes
←,literal,logic,from,yes
↦,literal,logic,maps_to,yes
¬,literal,logic,not,yes
∧,literal,logic,and,yes
∨,literal,logic,or,yes
⊢,literal,logic,proves,yes
⊨,literal,logic,models,yes
\\forall\b,regex,logic,forall,yes
\\exists\b,regex,logic,exists,yes
\\nexists\b,regex,logic,not_exists,yes
\\Rightarrow\b,regex,logic,implies,yes
\\Leftarrow\b,regex,logic,implied_by,yes
\\Leftrightarrow\b,regex,logic,iff,yes
\\to\b,regex,logic,to,yes
\\mapsto\b,regex,logic,maps_to,yes
\\land\b,regex,logic,and,yes
\\lor\b,regex,logic,or,yes
\\neg\b,regex,logic,not,yes
∫,literal,calculus,integral,yes
∬,literal,calculus,double_integral,yes
∭,literal,calculus,triple_integral,yes
∮,literal,calculus,contour_integral,yes
∑,literal,calculus,sum,yes
∏,literal,calculus,product,yes
√,literal,calculus,sqrt,yes
∂,literal,calculus,partial,yes
∇,literal,calculus,nabla,yes
∞,literal,calculus,infinity,yes
′,literal,calculus,prime,yes
″,literal,calculus,double_prime,yes
\\int\b,regex,calculus,integral,yes
\\iint\b,regex,calculus,double_integral,yes
\\iiint\b,regex,calculus,triple_integral,yes
\\oint\b,regex,calculus,contour_integral,yes
\\sum\b,regex,calculus,sum,yes
\\prod\b,regex,calculus,product,yes
\\sqrt\b,regex,calculus,sqrt,yes
\\partial\b,regex,calculus,partial,yes
\\nabla\b,regex,calculus,nabla,yes
\\infty\b,regex,calculus,infinity,yes
lim,word,calculus,limit,no
limsup,word,calculus,limsup,no
liminf,word,calculus,liminf,no
sup,word,calculus,supremum,no
inf,word,calculus,infimum,no
\\lim\b,regex,calculus,limit,yes
\\limsup\b,regex,calculus,limsup,yes
\\liminf\b,regex,calculus,liminf,yes
\\sup\b,regex,calculus,supremum,yes
\\inf\b,regex,calculus,infimum,yes
+,literal,operator,plus,yes
−,literal,operator,minus,yes
*,literal,operator,asterisk,yes
×,literal,operator,times,yes
÷,literal,operator,divide,yes
±,literal,operator,plus_minus,yes
∓,literal,operator,minus_plus,yes
⋅,literal,operator,dot,yes
∘,literal,operator,circ,yes
∗,literal,operator,star,yes
\\pm\b,regex,operator,plus_minus,yes
\\mp\b,regex,operator,minus_plus,yes
\\times\b,regex,operator,times,yes
\\div\b,regex,operator,divide,yes
\\cdot\b,regex,operator,dot,yes
\\circ\b,regex,operator,circ,yes
sin,word,function,sine,no
cos,word,function,cosine,no
tan,word,function,tangent,no
cot,word,function,cotangent,no
sec,word,function,secant,no
csc,word,function,cosecant,no
sinh,word,function,hyperbolic_sine,no
cosh,word,function,hyperbolic_cosine,no
tanh,word,function,hyperbolic_tangent,no
log,word,function,logarithm,no
ln,word,function,natural_log,no
exp,word,function,exponential,no
min,word,function,minimum,no
max,word,function,maximum,no
arg,word,function,argument,no
\\sin\b,regex,function,sine,yes
\\cos\b,regex,function,cosine,yes
\\tan\b,regex,function,tangent,yes
\\log\b,regex,function,logarithm,yes
\\ln\b,regex,function,natural_log,yes
\\exp\b,regex,function,exponential,yes
\\min\b,regex,function,minimum,yes
\\max\b,regex,function,maximum,yes
det,word,linear_algebra,determinant,no
rank,word,linear_algebra,rank,no
trace,word,linear_algebra,trace,no
span,word,linear_algebra,span,no
ker,word,linear_algebra,kernel,no
im,word,linear_algebra,image,no
dim,word,linear_algebra,dimension,no
eigenvalue,word,linear_algebra,eigenvalue,no
eigenvector,word,linear_algebra,eigenvector,no
matrix,word,linear_algebra,matrix,no
vector,word,linear_algebra,vector,no
\\det\b,regex,linear_algebra,determinant,yes
\\rank\b,regex,linear_algebra,rank,yes
\\operatorname\{tr\},regex,linear_algebra,trace,yes
\\ker\b,regex,linear_algebra,kernel,yes
\\dim\b,regex,linear_algebra,dimension,yes
\\begin\{matrix\},regex,linear_algebra,matrix_environment,yes
\\begin\{pmatrix\},regex,linear_algebra,matrix_environment,yes
\\begin\{bmatrix\},regex,linear_algebra,matrix_environment,yes
ℙ,literal,probability_statistics,probability_space,yes
Pr,word,probability_statistics,probability,no
\bP\s*(?:\(|\[|_),regex,probability_statistics,probability,yes
\bE\s*(?:\(|\[|_),regex,probability_statistics,expectation,yes
Var,word,probability_statistics,variance,no
Cov,word,probability_statistics,covariance,no
\\mathbb\{P\},regex,probability_statistics,probability_space,yes
\\operatorname\{Var\},regex,probability_statistics,variance,yes
\\operatorname\{Cov\},regex,probability_statistics,covariance,yes
gcd,word,number_theory,gcd,no
lcm,word,number_theory,lcm,no
mod,word,number_theory,modulo,no
prime,word,number_theory,prime,no
congruence,word,number_theory,congruence,no
\\gcd\b,regex,number_theory,gcd,yes
\\pmod,regex,number_theory,modulo,yes
divides,word,number_theory,divides,no
coprime,word,number_theory,coprime,no
integer,word,number_theory,integer,no
\\mid\b,regex,number_theory,divides,yes
\\nmid\b,regex,number_theory,not_divides,yes
\\bmod\b,regex,number_theory,modulo,yes
\\varphi\b,regex,number_theory,euler_phi,yes
\\phi\b,regex,number_theory,euler_phi,yes
\\mu\b,regex,number_theory,mobius_mu,yes
isomorphism,word,abstract_algebra,isomorphism,no
homomorphism,word,abstract_algebra,homomorphism,no
automorphism,word,abstract_algebra,automorphism,no
group,word,abstract_algebra,group,no
ring,word,abstract_algebra,ring,no
field,word,abstract_algebra,field,no
ideal,word,abstract_algebra,ideal,no
normal,word,abstract_algebra,normal_subgroup,no
quotient,word,abstract_algebra,quotient,no
kernel,word,abstract_algebra,kernel,no
image,word,abstract_algebra,image,no
\\oplus\b,regex,abstract_algebra,direct_sum,yes
\\otimes\b,regex,abstract_algebra,tensor_product,yes
\\cong\b,regex,abstract_algebra,isomorphic,yes
⊕,literal,abstract_algebra,direct_sum,yes
⊗,literal,abstract_algebra,tensor_product,yes
≅,literal,abstract_algebra,isomorphic,yes
open,word,topology,open_set,no
closed,word,topology,closed_set,no
compact,word,topology,compact,no
connected,word,topology,connected,no
continuous,word,topology,continuous,no
homeomorphism,word,topology,homeomorphism,no
neighborhood,word,topology,neighborhood,no
closure,word,topology,closure,no
interior,word,topology,interior,no
dense,word,topology,dense,no
cover,word,topology,cover,no
\\overline,regex,topology,closure,yes
\\partial\b,regex,topology,boundary,yes
⊔,literal,topology,disjoint_union,yes
angle,word,geometry,angle,no
triangle,word,geometry,triangle,no
circle,word,geometry,circle,no
line,word,geometry,line,no
plane,word,geometry,plane,no
distance,word,geometry,distance,no
metric,word,geometry,metric,no
curvature,word,geometry,curvature,no
geodesic,word,geometry,geodesic,no
manifold,word,geometry,manifold,no
\\angle\b,regex,geometry,angle,yes
\\triangle\b,regex,geometry,triangle,yes
∠,literal,geometry,angle,yes
△,literal,geometry,triangle,yes
⊥,literal,geometry,perpendicular,yes
∥,literal,geometry,parallel,yes
\\perp\b,regex,geometry,perpendicular,yes
\\parallel\b,regex,geometry,parallel,yes
choose,word,combinatorics,choose,no
permutation,word,combinatorics,permutation,no
combination,word,combinatorics,combination,no
partition,word,combinatorics,partition,no
graph,word,combinatorics,graph,no
vertex,word,combinatorics,vertex,no
edge,word,combinatorics,edge,no
tree,word,combinatorics,tree,no
path,word,combinatorics,path,no
cycle,word,combinatorics,cycle,no
\\binom,regex,combinatorics,binomial,yes
\\choose\b,regex,combinatorics,choose,yes
⋃,literal,set_theory,big_union,yes
⋂,literal,set_theory,big_intersection,yes
\\bigcup\b,regex,set_theory,big_union,yes
\\bigcap\b,regex,set_theory,big_intersection,yes
\\setminus\b,regex,set_theory,set_difference,yes
\\backslash\b,regex,set_theory,set_difference,yes
∖,literal,set_theory,set_difference,yes
\\mathcal\{F\},regex,set_theory,sigma_algebra,yes
\\mathcal\{B\},regex,set_theory,borel_sets,yes
\\mathscr\{F\},regex,set_theory,sigma_algebra,yes
\\mathscr\{B\},regex,set_theory,borel_sets,yes
\\mathbb\{E\},regex,probability_statistics,expectation,yes
\\operatorname\{E\},regex,probability_statistics,expectation,yes
\\mathbb\{1\},regex,probability_statistics,indicator,yes
\\mathbf\{1\},regex,probability_statistics,indicator,yes
\\sim\b,regex,probability_statistics,distributed_as,yes
\\perp\b,regex,probability_statistics,independence,yes
\\mathcal\{N\},regex,probability_statistics,normal_distribution,yes
\\operatorname\{Poisson\},regex,probability_statistics,poisson_distribution,yes
\\operatorname\{Bin\},regex,probability_statistics,binomial_distribution,yes
\\operatorname\{rank\},regex,linear_algebra,rank,yes
\\operatorname\{span\},regex,linear_algebra,span,yes
\\operatorname\{im\},regex,linear_algebra,image,yes
\\operatorname\{diag\},regex,linear_algebra,diagonal,yes
\\lambda I,regex,linear_algebra,eigenvalue_expression,yes
∥,literal,linear_algebra,norm,yes
\\Vert,regex,linear_algebra,norm,yes
\\norm,regex,linear_algebra,norm,yes
gradient,word,calculus,gradient,no
derivative,word,calculus,derivative,no
integral,word,calculus,integral,no
series,word,calculus,series,no
sequence,word,calculus,sequence,no
converges,word,calculus,converges,no
diverges,word,calculus,diverges,no
\\frac\{d\},regex,calculus,derivative,yes
\\frac\{\\partial\},regex,calculus,partial_derivative,yes
\\mathrm\{d\},regex,calculus,differential,yes
"\\,d[A-Za-z]",regex,calculus,differential,yes
\\nabla,regex,calculus,gradient,yes
\\Delta\b,regex,calculus,laplacian,yes
∃!,literal,logic,unique_exists,yes
\\exists!,regex,logic,unique_exists,yes
\\implies\b,regex,logic,implies,yes
\\iff\b,regex,logic,iff,yes
\\because\b,regex,logic,because,yes
\\therefore\b,regex,logic,therefore,yes
∴,literal,logic,therefore,yes
∵,literal,logic,because,yes
definition,word,marker_definition,definition,no
theorem,word,marker_theorem,theorem,no
lemma,word,marker_theorem,lemma,no
proposition,word,marker_theorem,proposition,no
corollary,word,marker_theorem,corollary,no
proof,word,marker_proof,proof,no
qed,word,marker_proof,qed,no
example,word,marker_example,example,no
exercise,word,marker_example,exercise,no
intuition,word,marker_explanation,intuition,no
suppose,word,marker_explanation,suppose,no
therefore,word,marker_explanation,therefore,no
note,word,marker_explanation,note,no
